Population,Poverty,Child Poverty,state,county,year
45472.0,5104.0,2850.0,27,049,2015
20389.0,2368.0,1276.0,27,057,2015
10065.0,1085.0,561.0,27,063,2015
20047.0,2286.0,1416.0,27,091,2015
21302.0,3320.0,1751.0,27,105,2015
27442.0,4015.0,2125.0,27,115,2015
88179.0,6966.0,4014.0,27,141,2015
13442.0,2211.0,1232.0,27,159,2015
38593.0,5732.0,3418.0,27,009,2015
94781.0,4172.0,2286.0,27,019,2015
30372.0,3679.0,2308.0,27,047,2015
44350.0,6018.0,3169.0,27,061,2015
35449.0,2866.0,1587.0,27,085,2015
10731.0,1011.0,580.0,27,121,2015
513815.0,84589.0,45862.0,27,123,2015
9396.0,1727.0,832.0,27,149,2015
9373.0,1167.0,770.0,27,151,2015
47071.0,6933.0,3457.0,27,169,2015
11329.0,1905.0,1043.0,27,033,2015
135587.0,7747.0,4220.0,27,139,2015
20173.0,1342.0,767.0,27,039,2015
21180.0,1547.0,805.0,27,157,2015
9148.0,1182.0,733.0,27,117,2015
62283.0,7028.0,3632.0,27,035,2015
6543.0,846.0,463.0,27,107,2015
127436.0,7846.0,4491.0,27,171,2015
30728.0,3814.0,1930.0,27,103,2015
35993.0,3438.0,1767.0,27,041,2015
4354.0,474.0,295.0,27,069,2015
27383.0,2482.0,1279.0,27,079,2015
52311.0,2889.0,1500.0,27,025,2015
15443.0,1825.0,925.0,27,127,2015
24137.0,3548.0,1871.0,27,153,2015
43119.0,8118.0,4293.0,27,007,2015
18546.0,2031.0,1018.0,27,055,2015
6873.0,561.0,311.0,27,073,2015
56451.0,5635.0,3186.0,27,111,2015
17849.0,1544.0,792.0,27,161,2015
335395.0,25925.0,13913.0,27,003,2015
145280.0,19570.0,10295.0,27,145,2015
5636.0,524.0,317.0,27,081,2015
9314.0,734.0,448.0,27,089,2015
25235.0,3080.0,1698.0,27,095,2015
243064.0,13109.0,7279.0,27,163,2015
34410.0,4727.0,2225.0,27,017,2015
15824.0,2242.0,1231.0,27,065,2015
22630.0,2116.0,1208.0,27,093,2016
13884.0,1211.0,663.0,27,113,2016
57036.0,6678.0,4003.0,27,131,2016
6288.0,577.0,362.0,27,167,2016
4010.0,418.0,234.0,27,125,2016
57332.0,6827.0,3718.0,27,027,2016
13718.0,1728.0,1001.0,27,043,2016
20488.0,2476.0,1374.0,27,045,2016
10496.0,1255.0,607.0,27,075,2016
30389.0,3950.0,2040.0,27,119,2016
15365.0,1286.0,655.0,27,135,2016
14757.0,1442.0,806.0,27,143,2016
10855.0,1272.0,837.0,27,165,2016
32847.0,4209.0,2425.0,27,005,2016
4958.0,562.0,343.0,27,011,2016
24128.0,1925.0,979.0,27,015,2016
28161.0,4468.0,2411.0,27,021,2016
45549.0,4980.0,2617.0,27,049,2016
20464.0,2363.0,1352.0,27,057,2016
9996.0,895.0,453.0,27,063,2016
19881.0,2308.0,1442.0,27,091,2016
21312.0,3004.0,1701.0,27,105,2016
27297.0,3737.0,1905.0,27,115,2016
88936.0,6382.0,3558.0,27,141,2016
13430.0,2081.0,1197.0,27,159,2016
38792.0,5220.0,3013.0,27,009,2016
96212.0,3957.0,2235.0,27,019,2016
30218.0,3383.0,2033.0,27,047,2016
44263.0,5886.0,3158.0,27,061,2016
35461.0,2885.0,1640.0,27,085,2016
10755.0,1026.0,612.0,27,121,2016
517710.0,82252.0,44481.0,27,123,2016
9391.0,1637.0,864.0,27,149,2016
9341.0,1155.0,750.0,27,151,2016
47016.0,6539.0,3329.0,27,169,2016
11264.0,1802.0,970.0,27,033,2016
137786.0,7905.0,4636.0,27,139,2016
