,year,countyServed,max arsenic (ug/L)
592,2005,Wadena,17
593,2005,Waseca,4.5
594,2005,Washington,8.11
595,2005,Watonwan,13
596,2005,Wilkin,2.3
597,2005,Winona,1.79
598,2005,Wright,7.59
599,2005,Yellow Medicine,29
600,2007,Aitkin,5.82
601,2007,Anoka,15
602,2007,Becker,12
603,2007,Beltrami,4.4
604,2007,Benton,2.61
605,2007,Big Stone,4.52
606,2007,Blue Earth,7.49
607,2007,Brown,4.83
608,2007,Carlton,3.19
609,2007,Carver,7.83
610,2007,Cass,21
611,2007,Chippewa,5.2
612,2007,Chisago,5.5
613,2007,Clay,10.5
614,2007,Clearwater,2.6
615,2007,Cook,3.69
616,2007,Cottonwood,2.9
617,2007,Crow Wing,8.17
618,2007,Dakota,2.58
619,2007,Dodge,2.93
620,2007,Douglas,9.22
621,2007,Faribault,7.3
622,2007,Fillmore,1.26
623,2007,Freeborn,9.28
624,2007,Goodhue,2.74
625,2007,Grant,36
626,2007,Hennepin,5.9
627,2007,Houston,0.5
628,2007,Hubbard,0.5
629,2007,Isanti,3.06
630,2007,Itasca,3.91
631,2007,Jackson,3.82
632,2007,Kanabec,6.1
633,2007,Kandiyohi,11.7
634,2007,Kittson,1.06
635,2007,Koochiching,11
636,2007,Lac Qui Parle,16
637,2007,Lake,0.5
638,2007,Lake of the Woods,2.92
639,2007,Le Sueur,4.5
640,2007,Lincoln,1.5
641,2007,Lyon,1.92
642,2007,Mahnomen,4.13
643,2007,Marshall,6.86
644,2007,Martin,7.86
645,2007,McLeod,13
646,2007,Meeker,21
647,2007,Mille Lacs,2.5
648,2007,Morrison,4.49
649,2007,Mower,13
650,2007,Murray,6.59
651,2007,Nicollet,10
652,2007,Nobles,2.26
653,2007,Norman,12
654,2007,Olmsted,2.01
655,2007,Otter Tail,49
656,2007,Pennington,2.51
657,2007,Pine,2.93
658,2007,Pipestone,5.1
659,2007,Polk,6.49
660,2007,Pope,11.9
661,2007,Ramsey,5.97
662,2007,Red Lake,4.44
663,2007,Redwood,4.7
664,2007,Renville,19
